GeneID,total_counts
ENSMUSG00000079800,138
ENSMUSG00000095092,0
ENSMUSG00000079192,0
ENSMUSG00000079794,166
ENSMUSG00000094799,0
ENSMUSG00000095250,39
ENSMUSG00000095787,0
ENSMUSG00000096100,0
ENSMUSG00000094054,0
ENSMUSG00000095672,60
ENSMUSG00000079190,1149
ENSMUSG00000094514,0
ENSMUSG00000094915,100
ENSMUSG00000079808,3520
ENSMUSG00000063897,2121964
ENSMUSG00000084520,72
ENSMUSG00000096776,0
ENSMUSG00000096244,0
ENSMUSG00000079222,117
ENSMUSG00000094874,0
ENSMUSG00000095450,0
ENSMUSG00000095500,0
ENSMUSG00000094728,0
ENSMUSG00000096808,1281
ENSMUSG00000062783,138
ENSMUSG00000090805,13
ENSMUSG00000051412,4306409
ENSMUSG00000089163,0
ENSMUSG00000061654,2073036
ENSMUSG00000079834,584249
ENSMUSG00000099278,0
ENSMUSG00000094121,0
ENSMUSG00000094576,11344
ENSMUSG00000079764,252
ENSMUSG00000079774,0
ENSMUSG00000079773,827255
ENSMUSG00000096271,1922676
ENSMUSG00000094741,0
ENSMUSG00000074720,0
ENSMUSG00000094337,0
ENSMUSG00000095570,0
ENSMUSG00000096728,0
ENSMUSG00000094621,26
ENSMUSG00000098647,0
ENSMUSG00000095434,69
ENSMUSG00000094431,40
ENSMUSG00000096730,0
ENSMUSG00000095456,296
ENSMUSG00000095247,402
ENSMUSG00000095585,0
ENSMUSG00000096873,329
ENSMUSG00000095755,690
ENSMUSG00000096646,4695
ENSMUSG00000096506,3517
ENSMUSG00000095552,59367
ENSMUSG00000095207,0
ENSMUSG00000093828,123
ENSMUSG00000095623,0
ENSMUSG00000094661,10869
ENSMUSG00000095320,24854
ENSMUSG00000094350,824
ENSMUSG00000096237,96894
ENSMUSG00000095742,1174123
ENSMUSG00000095666,0
ENSMUSG00000096680,0
ENSMUSG00000095505,0
ENSMUSG00000094303,0
ENSMUSG00000096236,0
ENSMUSG00000096756,0
ENSMUSG00000094722,0
ENSMUSG00000095728,0
ENSMUSG00000095076,0
ENSMUSG00000094836,126
ENSMUSG00000094383,0
ENSMUSG00000094474,0
ENSMUSG00000094791,0
ENSMUSG00000096550,0
ENSMUSG00000094172,0
ENSMUSG00000094887,0
ENSMUSG00000091585,0
ENSMUSG00000095763,0
ENSMUSG00000095523,0
ENSMUSG00000095475,0
ENSMUSG00000094855,0
ENSMUSG00000095019,0
ENSMUSG00000095041,24207349
ENSMUSG00000102693,313
ENSMUSG00000064842,64
ENSMUSG00000102851,2489
ENSMUSG00000103377,37743
ENSMUSG00000104017,16505
ENSMUSG00000103025,9585
ENSMUSG00000089699,1390
ENSMUSG00000103201,11863
ENSMUSG00000103147,72791
ENSMUSG00000103161,57068
ENSMUSG00000102331,48200
ENSMUSG00000051951,6042860
ENSMUSG00000102348,24018
ENSMUSG00000102592,0
ENSMUSG00000088333,0
ENSMUSG00000102343,87
ENSMUSG00000102948,276
ENSMUSG00000104123,138
ENSMUSG00000025900,26936
ENSMUSG00000025902,1047531
ENSMUSG00000104238,26649
ENSMUSG00000102269,36655
ENSMUSG00000096126,4548
ENSMUSG00000103003,0
ENSMUSG00000104328,1955
ENSMUSG00000102735,148
ENSMUSG00000098104,582315
ENSMUSG00000102175,20038
ENSMUSG00000088000,1053
ENSMUSG00000103265,640
ENSMUSG00000103922,3041492
ENSMUSG00000102275,39861
ENSMUSG00000033845,3802391
ENSMUSG00000025903,3894877
ENSMUSG00000062588,2114590
ENSMUSG00000104217,1590960
ENSMUSG00000033813,4908505
ENSMUSG00000103280,529762
ENSMUSG00000091305,6936
ENSMUSG00000102653,30634
ENSMUSG00000085623,39992
ENSMUSG00000091665,12073
ENSMUSG00000002459,9538826
ENSMUSG00000033793,18074629
ENSMUSG00000104352,54
ENSMUSG00000104046,1450
ENSMUSG00000102907,138
ENSMUSG00000025905,4263683
ENSMUSG00000103936,484
ENSMUSG00000093015,2
ENSMUSG00000103519,0
ENSMUSG00000033774,259415
ENSMUSG00000103090,0
ENSMUSG00000090031,1110843
ENSMUSG00000025907,17396617
ENSMUSG00000103355,78739
